participant,total_keystrokes,wpm_estimate,hold_mean,hold_std,hold_cv,dd_mean,dd_std,dd_cv,dd_skew,dd_kurtosis,ud_mean,ud_std,overlap_ratio,dd_iqr
p062,5305,62.17616580310881,0.07826861451460886,0.018882576662552494,0.2412534932380599,0.26276569274269557,0.21869882066933188,0.832295945435638,4.198295776552443,32.09975001269681,0.1844970782280867,0.21806634894537594,0.007728557964184732,0.12000000000000002
p063,5318,48.582995951417004,0.08263670552839412,0.11770753812609486,1.4243977585196697,0.39112843174125617,0.4795274661576057,1.2260102494283218,5.370148924391782,70.44241891576125,0.30849172621286197,0.4650729831509682,0.009025949605114705,0.265
p064,5370,61.855670103092784,0.0816854748603352,0.20281382662680453,2.4828627974994695,0.30713649906890134,0.4179904530030235,1.360927321468407,2.9304945160832476,192.36381109487948,0.2254510242085661,0.3637116846296091,0.01005586592178771,0.20400000000000001
p065,5854,71.00591715976331,0.07891441749231295,0.02341493914619833,0.29671307082104653,0.20817406901264093,0.20630699053108068,0.9910311668959754,10.305021652430863,204.193932226421,0.12925965152032798,0.20649466009765222,0.16194055346771438,0.15400000000000003
p066,5323,82.75862068965517,0.08360510990043209,0.01991944478482384,0.23825630764132164,0.1935134322750329,0.2651350976919284,1.3701121135358825,18.96545106940281,492.9171577325992,0.1099083223746008,0.2639237656766367,0.1042645124929551,0.08600000000000001
p067,5597,73.17073170731707,0.1340877255672682,0.34637925908378986,2.5832286856862336,0.27635912095765586,0.5995065286905683,2.169302488056566,2.857519129899148,126.59829062068485,0.14227139539038772,0.48882468502103904,0.25424334464891907,0.15200000000000002
p068,5500,71.00591715976331,0.07088672727272727,0.02754631547903335,0.3885962371073017,0.2591710909090909,0.2710424092918734,1.045804948156609,4.41214024067779,35.1454149954787,0.18828436363636364,0.2708214257335397,0.020181818181818183,0.134
p069,5328,74.07407407407408,0.10211186186186187,0.03877304768319845,0.37971149459257764,0.2041116741741742,0.1543403936609742,0.7561566200729476,3.694385080563998,26.620384196767397,0.10199981231231232,0.1528353200886707,0.1704204204204204,0.116
p070,5397,79.47019867549669,0.13366277561608303,0.34232966151883565,2.5611443421024163,0.18722938669631276,0.5046330452731261,2.6952662409328085,0.4420309893109863,192.50284441187574,0.053566611080229753,0.36636007639864454,0.2355012043727997,0.09000000000000001
p071,5552,83.33333333333334,0.14161095100864554,0.04991371342986427,0.35247071694912213,0.20235590778097984,0.21543974908270289,1.0646575701455894,7.976824082992145,146.46457385767405,0.06074495677233429,0.20862130871977766,0.44452449567723346,0.144
p072,5099,51.06382978723405,0.1102647577956462,0.16871538415545032,1.5300934544120648,0.38855089233182977,0.48345450666266854,1.2442501515343043,5.72043669598715,117.0404011238654,0.27828613453618356,0.4542526014864208,0.043537948617375956,0.2925
p073,5684,75.0,0.21963898662913442,0.7691712896676175,3.501979778145588,0.2019234693877551,1.0492322940017644,5.196187927946686,0.20378379540559738,33.80381040855752,-0.01771551724137931,0.79335410929798,0.16062631949331457,0.128
p074,5916,76.43312101910828,0.08055104800540906,0.03472367331281567,0.4310766175318275,0.2338133874239351,0.29519151139376887,1.2625090233115999,-6.605510841423125,248.85397251785838,0.15326233941852604,0.29697455991901206,0.0799526707234618,0.14500000000000002
p075,4975,59.4059405940594,0.1562205025125628,0.045733940426611594,0.29275248569203505,0.29798371859296485,0.3911106985811984,1.3125237191748798,9.446291833150758,130.44312102509133,0.14176321608040202,0.3966563104281101,0.3264321608040201,0.18050000000000002
p076,5101,89.55223880597015,0.10980435208782591,0.03790836408142838,0.3452355335707252,0.1602299549108018,0.136388247195701,0.851203180276913,16.943009186125995,633.4132126477075,0.05042560282297589,0.1394845841621099,0.3320917467163301,0.074
p077,5628,71.42857142857143,0.08814232409381663,0.04688751953236376,0.5319523851272373,0.23273773987206822,0.18713036945934688,0.8040396437733267,3.542995829281544,33.05171012140906,0.1445954157782516,0.18288955967026382,0.08031272210376687,0.16799999999999998
p078,5677,114.28571428571429,0.1299244319182667,0.345481909694606,2.659098866885507,0.12775885150607716,0.5237324799096217,4.0993831248139285,-1.403492580324465,188.02960571407115,-0.0021655804121895363,0.3953097857388782,0.5351418002466092,0.075
p079,5565,51.72413793103448,0.06470691823899372,0.033105041044649064,0.5116151710760861,0.3479532794249775,0.46845067339337343,1.3463033720145647,7.482497212508657,92.62759359836319,0.28324636118598384,0.4657743352218244,0.044923629829290206,0.216
p080,4879,74.07407407407408,0.07873437179749948,0.09941812851558789,1.2627030132568509,0.2002346792375487,0.1999918983046813,0.9987875180573504,2.28588568311876,593.8348519469206,0.12150030744004918,0.17331829799816184,0.034228325476532075,0.096
p081,5534,88.23529411764706,0.07102584026020961,0.10530453054896309,1.482622805491218,0.1687043729671124,0.2269794071007712,1.3454269329759387,4.923613078401512,420.7946105420383,0.09767853270690278,0.2022249630451162,0.08782074448861583,0.08399999999999999
